date,date,date,date,meal_type,key_ingredients_tags,typical_ingredient_cost,observed_market_price,actual_selling_price,quantity_sold,has_promotion,special_event,weather_condition
01-01-2024,11,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,10.59,12.48,361,FALSE,FALSE,Sunny
01-01-2024,7,Casual Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9,26.64,60.46,105,FALSE,FALSE,Sunny
01-01-2024,23,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9,49.42,80.15,36,FALSE,FALSE,Rainy
01-01-2024,22,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,2.04,2.48,503,FALSE,FALSE,Sunny
01-01-2024,32,Fine Dining,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9,40.3,55.54,262,FALSE,FALSE,Rainy
01-01-2024,1,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,4.8,6.72,409,FALSE,FALSE,Sunny
01-01-2024,41,Cafe,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9,31.79,49.14,76,FALSE,FALSE,Cloudy
01-01-2024,29,Food Stall,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,11.05,16.9,236,FALSE,FALSE,Cloudy
01-01-2024,2,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,17.58,27.2,176,FALSE,FALSE,Cloudy
01-01-2024,3,Cafe,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9,34.64,36.95,237,FALSE,FALSE,Rainy
01-01-2024,1,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.1,9.71,347,FALSE,FALSE,Rainy
01-01-2024,46,Casual Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8,28.2,39.31,270,FALSE,FALSE,Cloudy
01-01-2024,17,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,5.39,5.36,278,FALSE,FALSE,Cloudy
01-01-2024,2,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.9,1.81,847,TRUE,FALSE,Sunny
01-01-2024,29,Food Stall,Chicken Rice,Dinner,"chicken, rice, ginger, garlic, chili sauce, cucumber",4,9.19,12.15,344,FALSE,FALSE,Cloudy
01-01-2024,30,Cafe,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,3.23,3.54,412,FALSE,FALSE,Cloudy
01-01-2024,3,Cafe,Iced Lemon Tea,Lunch,"black tea, lemon, sugar syrup",1.2,4.89,5.14,714,FALSE,FALSE,Sunny
01-01-2024,30,Cafe,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,4.67,3.45,649,TRUE,FALSE,Sunny
01-01-2024,40,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.44,8.18,625,FALSE,FALSE,Sunny
